wallet_address,reward_morbius,morbius_equivalent,claimed
0xb6c998ca8a520ff02ac9ed0552982ca829386836,228818.060304192000308735,22864445.135685519291237784,yes
0x479143834c0ec540e0924923383cdd8839b138a3,165934.996655989379849203,16580909.83765551178761298,yes
0x06c8e296cc63b15b17878b673a9d58e71ea7508b,45786.591722281102238083,4575185.249767410221753763,yes
0xbf55c7b3a9f95481033a402753c80b099a4157d1,41795.369012765885446357,4176365.801054773242491168,yes
0xe1e206e15e40531b3c552e57f862a5da84b54051,20936.105061479346190592,2092022.040990846821594995,yes
0x0026b10e6fd0947425549319bea6261d7edb61bb,18376.520143982743354595,1836257.750189553555212718,yes
0xb6b3b6b3f5605b276b6347bb1cc34c3532362378,13768.836542329066710332,1375838.984413143093733232,yes
0x679fb60cd46306e1a922cdba11b796772a3eb0c3,5213.568747414791838549,520961.310605980663745773,yes
0xe26264c7514f81856d84789d80aa285327c7e467,22.25041227479317047,2223.353043142948886267,yes
0xdab99593f4a6870da3d0209b3fcb15c453c0a0a9,0.004459528614519242,0.445614507885184062,yes
0x3e085f0a8ab6f6054386070ef38c04b1272997ef,0.00403457487528338,0.403151376071874192,yes
