contract_label,contract_address,player_address,reserve_wei,reserve_human
Legacy 1,0x32435e633EB691f7039EB73107FD15EF13125703,0xb6b3b6b3f5605b276b6347bb1cc34c3532362378,132502000000000000000000,132502.0
Legacy 1,0x32435e633EB691f7039EB73107FD15EF13125703,0x70444750eedf1b2c9b777cbf096a5919a14895e5,25000000000000000000000,25000.0
Legacy 1,0x32435e633EB691f7039EB73107FD15EF13125703,0x479143834c0ec540e0924923383cdd8839b138a3,10000000000000000000000,10000.0
Legacy 1,0x32435e633EB691f7039EB73107FD15EF13125703,0xfbf19160c49b45324287a8e5d6269d2b384ed526,5000000000000000000000,5000.0
Current,0x69771cE8C2eC5a78Cf87b0a21ad801E74a3EED09,0x2150802f69b1b08e7737f1974e5a046cacc1d864,100000000000000000000000,100000.0
Current,0x69771cE8C2eC5a78Cf87b0a21ad801E74a3EED09,0xfbf19160c49b45324287a8e5d6269d2b384ed526,55000000000000000000000,55000.0
Current,0x69771cE8C2eC5a78Cf87b0a21ad801E74a3EED09,0xb6b3b6b3f5605b276b6347bb1cc34c3532362378,10000000000000000000000,10000.0
